sequence,score,reps
seq_0000.npy,90,7
seq_0001.npy,92,6
seq_0002.npy,91,4
seq_0003.npy,87,4
seq_0004.npy,88,7
seq_0005.npy,95,4
seq_0006.npy,90,4
seq_0007.npy,87,5
seq_0008.npy,98,5
seq_0009.npy,92,7
seq_0010.npy,93,4
seq_0011.npy,85,4
seq_0012.npy,92,6
seq_0013.npy,87,6
seq_0014.npy,97,5
seq_0015.npy,95,5
seq_0016.npy,93,5
seq_0017.npy,88,4
seq_0018.npy,84,6
seq_0019.npy,96,6
seq_0020.npy,97,6
seq_0021.npy,89,7
seq_0022.npy,83,7
seq_0023.npy,91,7
seq_0024.npy,87,5
seq_0025.npy,86,6
seq_0026.npy,85,5
seq_0027.npy,83,7
seq_0028.npy,97,5
seq_0029.npy,87,6
seq_0030.npy,93,7
seq_0031.npy,96,5
seq_0032.npy,86,7
seq_0033.npy,97,5
seq_0034.npy,86,7
seq_0035.npy,92,5
seq_0036.npy,83,7
seq_0037.npy,82,7
seq_0038.npy,82,4
seq_0039.npy,89,5
seq_0040.npy,96,5
seq_0041.npy,90,6
seq_0042.npy,96,7
seq_0043.npy,88,7
seq_0044.npy,94,6
seq_0045.npy,90,6
seq_0046.npy,96,7
seq_0047.npy,91,7
seq_0048.npy,95,7
seq_0049.npy,94,7
seq_0050.npy,94,7
seq_0051.npy,98,7
seq_0052.npy,85,7
seq_0053.npy,87,7
seq_0054.npy,86,7
seq_0055.npy,82,5
seq_0056.npy,83,7
seq_0057.npy,85,5
seq_0058.npy,84,6
seq_0059.npy,84,4
seq_0060.npy,85,6
seq_0061.npy,86,5
seq_0062.npy,89,5
seq_0063.npy,89,4
seq_0064.npy,88,6
seq_0065.npy,86,6
seq_0066.npy,84,7
seq_0067.npy,86,4
seq_0068.npy,84,4
seq_0069.npy,84,4
seq_0070.npy,83,4
seq_0071.npy,84,4
seq_0072.npy,86,6
seq_0073.npy,89,5
seq_0074.npy,88,7
seq_0075.npy,98,5
seq_0076.npy,91,6
seq_0077.npy,91,5
seq_0078.npy,87,6
seq_0079.npy,87,5
seq_0080.npy,96,6
seq_0081.npy,83,4
seq_0082.npy,83,7
seq_0083.npy,84,4
seq_0084.npy,95,5
seq_0085.npy,96,5
seq_0086.npy,96,6
seq_0087.npy,96,6
seq_0088.npy,93,6
seq_0089.npy,84,4
seq_0090.npy,91,4
seq_0091.npy,94,6
seq_0092.npy,93,7
seq_0093.npy,98,7
seq_0094.npy,86,4
seq_0095.npy,91,6
seq_0096.npy,97,6
seq_0097.npy,91,4
seq_0098.npy,95,6
seq_0099.npy,92,5
seq_0100.npy,90,5
seq_0101.npy,86,4
seq_0102.npy,96,4
seq_0103.npy,87,6
seq_0104.npy,91,5
seq_0105.npy,91,5
seq_0106.npy,84,5
seq_0107.npy,87,4
seq_0108.npy,83,5
seq_0109.npy,88,6
seq_0110.npy,93,5
seq_0111.npy,96,5
seq_0112.npy,85,5
seq_0113.npy,87,6
seq_0114.npy,96,6
seq_0115.npy,89,5
seq_0116.npy,82,7
seq_0117.npy,82,7
seq_0118.npy,93,4
seq_0119.npy,84,7
seq_0120.npy,88,5
seq_0121.npy,84,4
seq_0122.npy,96,7
seq_0123.npy,84,5
seq_0124.npy,84,6
seq_0125.npy,88,5
seq_0126.npy,87,5
seq_0127.npy,86,6
seq_0128.npy,86,4
seq_0129.npy,91,5
seq_0130.npy,97,5
seq_0131.npy,82,7
seq_0132.npy,90,6
seq_0133.npy,89,6
seq_0134.npy,93,7
seq_0135.npy,98,4
seq_0136.npy,93,7
seq_0137.npy,94,5
seq_0138.npy,88,5
seq_0139.npy,93,6
seq_0140.npy,92,6
seq_0141.npy,94,4
seq_0142.npy,94,6
seq_0143.npy,82,5
