sequence,score,reps,quality
seq_0000.npy,94,8,good
seq_0001.npy,89,7,good
seq_0002.npy,90,5,good
seq_0003.npy,86,4,good
seq_0004.npy,87,4,good
seq_0005.npy,92,7,good
seq_0006.npy,88,6,good
seq_0007.npy,94,4,good
seq_0008.npy,93,4,good
seq_0009.npy,97,6,good
seq_0010.npy,97,7,good
seq_0011.npy,86,8,good
seq_0012.npy,90,5,good
seq_0013.npy,94,6,good
seq_0014.npy,87,4,good
seq_0015.npy,93,8,good
seq_0016.npy,86,4,good
seq_0017.npy,84,5,good
seq_0018.npy,97,5,good
seq_0019.npy,89,4,good
seq_0020.npy,83,8,good
seq_0021.npy,92,8,good
seq_0022.npy,98,7,good
seq_0023.npy,84,5,good
seq_0024.npy,88,4,good
seq_0025.npy,88,7,good
seq_0026.npy,89,7,good
seq_0027.npy,94,8,good
seq_0028.npy,94,4,good
seq_0029.npy,97,5,good
seq_0030.npy,98,6,good
seq_0031.npy,88,8,good
seq_0032.npy,84,6,good
seq_0033.npy,95,7,good
seq_0034.npy,89,7,good
seq_0035.npy,83,4,good
seq_0036.npy,91,6,good
seq_0037.npy,96,4,good
seq_0038.npy,93,7,good
seq_0039.npy,98,6,good
seq_0040.npy,88,7,good
seq_0041.npy,86,7,good
seq_0042.npy,93,7,good
seq_0043.npy,88,8,good
seq_0044.npy,83,6,good
seq_0045.npy,84,8,good
seq_0046.npy,87,8,good
seq_0047.npy,88,5,good
seq_0048.npy,86,7,good
seq_0049.npy,88,5,good
seq_0050.npy,67,6,medium
seq_0051.npy,63,8,medium
seq_0052.npy,53,5,medium
seq_0053.npy,60,5,medium
seq_0054.npy,57,5,medium
seq_0055.npy,53,8,medium
seq_0056.npy,60,8,medium
seq_0057.npy,68,7,medium
seq_0058.npy,57,8,medium
seq_0059.npy,52,8,medium
seq_0060.npy,57,7,medium
seq_0061.npy,78,7,medium
seq_0062.npy,60,5,medium
seq_0063.npy,71,7,medium
seq_0064.npy,54,6,medium
seq_0065.npy,75,8,medium
seq_0066.npy,64,7,medium
seq_0067.npy,73,7,medium
seq_0068.npy,55,7,medium
seq_0069.npy,69,8,medium
seq_0070.npy,69,6,medium
seq_0071.npy,54,5,medium
seq_0072.npy,52,4,medium
seq_0073.npy,64,6,medium
seq_0074.npy,72,6,medium
seq_0075.npy,78,5,medium
seq_0076.npy,64,6,medium
seq_0077.npy,69,6,medium
seq_0078.npy,54,5,medium
seq_0079.npy,61,6,medium
seq_0080.npy,73,7,medium
seq_0081.npy,58,4,medium
seq_0082.npy,52,7,medium
seq_0083.npy,61,8,medium
seq_0084.npy,56,7,medium
seq_0085.npy,72,8,medium
seq_0086.npy,54,7,medium
seq_0087.npy,52,8,medium
seq_0088.npy,61,8,medium
seq_0089.npy,58,4,medium
seq_0090.npy,70,7,medium
seq_0091.npy,73,5,medium
seq_0092.npy,54,8,medium
seq_0093.npy,54,6,medium
seq_0094.npy,66,6,medium
seq_0095.npy,69,7,medium
seq_0096.npy,77,8,medium
seq_0097.npy,74,8,medium
seq_0098.npy,73,8,medium
seq_0099.npy,61,5,medium
seq_0100.npy,44,8,bad
seq_0101.npy,31,4,bad
seq_0102.npy,34,8,bad
seq_0103.npy,41,7,bad
seq_0104.npy,42,7,bad
seq_0105.npy,42,6,bad
seq_0106.npy,28,8,bad
seq_0107.npy,31,7,bad
seq_0108.npy,40,4,bad
seq_0109.npy,30,4,bad
seq_0110.npy,20,5,bad
seq_0111.npy,43,6,bad
seq_0112.npy,37,6,bad
seq_0113.npy,34,6,bad
seq_0114.npy,44,6,bad
seq_0115.npy,26,6,bad
seq_0116.npy,38,6,bad
seq_0117.npy,31,8,bad
seq_0118.npy,37,7,bad
seq_0119.npy,29,6,bad
seq_0120.npy,23,6,bad
seq_0121.npy,42,7,bad
seq_0122.npy,44,4,bad
seq_0123.npy,37,8,bad
seq_0124.npy,27,7,bad
seq_0125.npy,46,6,bad
seq_0126.npy,28,7,bad
seq_0127.npy,48,8,bad
seq_0128.npy,31,8,bad
seq_0129.npy,23,8,bad
seq_0130.npy,23,8,bad
seq_0131.npy,32,8,bad
seq_0132.npy,41,4,bad
seq_0133.npy,26,7,bad
seq_0134.npy,25,8,bad
seq_0135.npy,40,7,bad
seq_0136.npy,37,5,bad
seq_0137.npy,22,8,bad
seq_0138.npy,24,5,bad
seq_0139.npy,31,4,bad
seq_0140.npy,32,8,bad
seq_0141.npy,20,6,bad
seq_0142.npy,23,5,bad
seq_0143.npy,43,6,bad
seq_0144.npy,46,4,bad
seq_0145.npy,30,4,bad
seq_0146.npy,20,8,bad
seq_0147.npy,48,8,bad
seq_0148.npy,32,4,bad
seq_0149.npy,36,8,bad
