sequence,score,reps,quality
seq_0000.npy,97,5,good
seq_0001.npy,84,4,good
seq_0002.npy,92,8,good
seq_0003.npy,89,7,good
seq_0004.npy,88,5,good
seq_0005.npy,85,7,good
seq_0006.npy,91,5,good
seq_0007.npy,84,5,good
seq_0008.npy,84,7,good
seq_0009.npy,95,7,good
seq_0010.npy,94,7,good
seq_0011.npy,90,6,good
seq_0012.npy,85,6,good
seq_0013.npy,83,7,good
seq_0014.npy,84,4,good
seq_0015.npy,96,7,good
seq_0016.npy,86,6,good
seq_0017.npy,88,4,good
seq_0018.npy,85,4,good
seq_0019.npy,91,6,good
seq_0020.npy,84,8,good
seq_0021.npy,91,8,good
seq_0022.npy,97,7,good
seq_0023.npy,91,5,good
seq_0024.npy,87,7,good
seq_0025.npy,91,4,good
seq_0026.npy,90,4,good
seq_0027.npy,82,5,good
seq_0028.npy,93,5,good
seq_0029.npy,98,6,good
seq_0030.npy,98,5,good
seq_0031.npy,86,8,good
seq_0032.npy,97,4,good
seq_0033.npy,89,5,good
seq_0034.npy,96,8,good
seq_0035.npy,96,8,good
seq_0036.npy,83,6,good
seq_0037.npy,88,8,good
seq_0038.npy,86,4,good
seq_0039.npy,94,4,good
seq_0040.npy,89,6,good
seq_0041.npy,88,5,good
seq_0042.npy,93,8,good
seq_0043.npy,84,6,good
seq_0044.npy,84,8,good
seq_0045.npy,87,7,good
seq_0046.npy,89,5,good
seq_0047.npy,91,7,good
seq_0048.npy,87,8,good
seq_0049.npy,88,7,good
seq_0050.npy,61,4,medium
seq_0051.npy,64,5,medium
seq_0052.npy,76,5,medium
seq_0053.npy,55,5,medium
seq_0054.npy,78,7,medium
seq_0055.npy,71,5,medium
seq_0056.npy,52,5,medium
seq_0057.npy,57,7,medium
seq_0058.npy,54,6,medium
seq_0059.npy,61,7,medium
seq_0060.npy,58,5,medium
seq_0061.npy,77,6,medium
seq_0062.npy,67,5,medium
seq_0063.npy,68,7,medium
seq_0064.npy,78,8,medium
seq_0065.npy,78,4,medium
seq_0066.npy,61,5,medium
seq_0067.npy,58,4,medium
seq_0068.npy,65,5,medium
seq_0069.npy,78,6,medium
seq_0070.npy,58,8,medium
seq_0071.npy,56,5,medium
seq_0072.npy,74,4,medium
seq_0073.npy,57,4,medium
seq_0074.npy,64,8,medium
seq_0075.npy,69,4,medium
seq_0076.npy,73,7,medium
seq_0077.npy,62,8,medium
seq_0078.npy,65,8,medium
seq_0079.npy,70,6,medium
seq_0080.npy,68,8,medium
seq_0081.npy,78,4,medium
seq_0082.npy,76,6,medium
seq_0083.npy,68,4,medium
seq_0084.npy,71,6,medium
seq_0085.npy,52,5,medium
seq_0086.npy,67,6,medium
seq_0087.npy,73,7,medium
seq_0088.npy,65,4,medium
seq_0089.npy,64,8,medium
seq_0090.npy,69,4,medium
seq_0091.npy,58,7,medium
seq_0092.npy,74,8,medium
seq_0093.npy,69,7,medium
seq_0094.npy,67,4,medium
seq_0095.npy,55,4,medium
seq_0096.npy,71,4,medium
seq_0097.npy,72,5,medium
seq_0098.npy,69,8,medium
seq_0099.npy,70,7,medium
seq_0100.npy,27,5,bad
seq_0101.npy,35,7,bad
seq_0102.npy,47,4,bad
seq_0103.npy,47,6,bad
seq_0104.npy,44,4,bad
seq_0105.npy,31,5,bad
seq_0106.npy,38,7,bad
seq_0107.npy,26,6,bad
seq_0108.npy,20,5,bad
seq_0109.npy,23,7,bad
seq_0110.npy,36,5,bad
seq_0111.npy,45,6,bad
seq_0112.npy,27,7,bad
seq_0113.npy,40,8,bad
seq_0114.npy,21,6,bad
seq_0115.npy,24,7,bad
seq_0116.npy,42,8,bad
seq_0117.npy,28,4,bad
seq_0118.npy,26,8,bad
seq_0119.npy,35,7,bad
seq_0120.npy,36,6,bad
seq_0121.npy,28,5,bad
seq_0122.npy,27,8,bad
seq_0123.npy,40,5,bad
seq_0124.npy,22,6,bad
seq_0125.npy,29,8,bad
seq_0126.npy,28,5,bad
seq_0127.npy,22,8,bad
seq_0128.npy,42,5,bad
seq_0129.npy,27,5,bad
seq_0130.npy,27,6,bad
seq_0131.npy,20,7,bad
seq_0132.npy,44,8,bad
seq_0133.npy,29,8,bad
seq_0134.npy,29,7,bad
seq_0135.npy,40,6,bad
seq_0136.npy,41,6,bad
seq_0137.npy,32,6,bad
seq_0138.npy,22,4,bad
seq_0139.npy,42,6,bad
seq_0140.npy,40,6,bad
seq_0141.npy,24,4,bad
seq_0142.npy,20,4,bad
seq_0143.npy,42,7,bad
seq_0144.npy,45,8,bad
seq_0145.npy,38,8,bad
seq_0146.npy,47,4,bad
seq_0147.npy,28,8,bad
seq_0148.npy,21,4,bad
seq_0149.npy,47,8,bad
