sequence,score,reps
seq_0000.npy,85,6
seq_0001.npy,83,7
seq_0002.npy,88,4
seq_0003.npy,94,5
seq_0004.npy,90,7
seq_0005.npy,85,4
seq_0006.npy,94,6
seq_0007.npy,83,7
seq_0008.npy,89,6
seq_0009.npy,84,5
seq_0010.npy,96,7
seq_0011.npy,92,7
seq_0012.npy,98,6
seq_0013.npy,98,5
seq_0014.npy,97,6
seq_0015.npy,93,5
seq_0016.npy,83,7
seq_0017.npy,82,7
seq_0018.npy,83,4
seq_0019.npy,91,6
seq_0020.npy,94,5
seq_0021.npy,92,6
seq_0022.npy,83,6
seq_0023.npy,85,6
seq_0024.npy,83,5
seq_0025.npy,86,5
seq_0026.npy,88,5
seq_0027.npy,89,6
seq_0028.npy,82,5
seq_0029.npy,97,4
seq_0030.npy,90,6
seq_0031.npy,89,7
seq_0032.npy,98,7
seq_0033.npy,92,4
seq_0034.npy,94,4
seq_0035.npy,82,7
seq_0036.npy,86,7
seq_0037.npy,95,5
seq_0038.npy,97,5
seq_0039.npy,88,6
seq_0040.npy,88,6
seq_0041.npy,83,6
seq_0042.npy,95,6
seq_0043.npy,89,5
seq_0044.npy,86,4
seq_0045.npy,83,5
seq_0046.npy,84,5
seq_0047.npy,87,4
seq_0048.npy,90,6
seq_0049.npy,85,7
seq_0050.npy,89,7
seq_0051.npy,92,4
seq_0052.npy,87,5
seq_0053.npy,82,4
seq_0054.npy,93,4
seq_0055.npy,88,4
seq_0056.npy,87,6
seq_0057.npy,91,6
seq_0058.npy,85,6
seq_0059.npy,92,4
seq_0060.npy,89,6
seq_0061.npy,91,4
seq_0062.npy,97,7
seq_0063.npy,93,4
seq_0064.npy,85,6
seq_0065.npy,84,5
seq_0066.npy,87,4
seq_0067.npy,85,6
seq_0068.npy,89,7
seq_0069.npy,93,4
seq_0070.npy,84,4
seq_0071.npy,98,6
seq_0072.npy,86,4
seq_0073.npy,91,6
seq_0074.npy,97,4
seq_0075.npy,98,5
seq_0076.npy,95,6
seq_0077.npy,91,6
seq_0078.npy,89,6
seq_0079.npy,88,6
seq_0080.npy,84,4
seq_0081.npy,87,4
seq_0082.npy,88,4
seq_0083.npy,94,5
seq_0084.npy,93,7
seq_0085.npy,93,4
seq_0086.npy,85,5
seq_0087.npy,94,5
seq_0088.npy,82,6
seq_0089.npy,89,7
seq_0090.npy,88,7
seq_0091.npy,94,4
seq_0092.npy,82,7
seq_0093.npy,90,6
seq_0094.npy,88,4
