sequence,score,reps,quality
seq_0000.npy,92,4,good
seq_0001.npy,88,4,good
seq_0002.npy,86,7,good
seq_0003.npy,89,5,good
seq_0004.npy,91,8,good
seq_0005.npy,84,7,good
seq_0006.npy,86,7,good
seq_0007.npy,94,5,good
seq_0008.npy,95,4,good
seq_0009.npy,95,4,good
seq_0010.npy,96,4,good
seq_0011.npy,85,5,good
seq_0012.npy,95,5,good
seq_0013.npy,98,5,good
seq_0014.npy,93,4,good
seq_0015.npy,94,8,good
seq_0016.npy,83,4,good
seq_0017.npy,91,4,good
seq_0018.npy,87,7,good
seq_0019.npy,82,8,good
seq_0020.npy,87,6,good
seq_0021.npy,83,4,good
seq_0022.npy,90,6,good
seq_0023.npy,82,4,good
seq_0024.npy,87,4,good
seq_0025.npy,87,5,good
seq_0026.npy,93,5,good
seq_0027.npy,84,7,good
seq_0028.npy,97,7,good
seq_0029.npy,96,8,good
seq_0030.npy,87,8,good
seq_0031.npy,98,8,good
seq_0032.npy,87,5,good
seq_0033.npy,94,5,good
seq_0034.npy,83,5,good
seq_0035.npy,88,4,good
seq_0036.npy,82,7,good
seq_0037.npy,87,4,good
seq_0038.npy,96,8,good
seq_0039.npy,91,7,good
seq_0040.npy,94,6,good
seq_0041.npy,86,4,good
seq_0042.npy,86,5,good
seq_0043.npy,86,4,good
seq_0044.npy,94,4,good
seq_0045.npy,95,4,good
seq_0046.npy,93,4,good
seq_0047.npy,92,6,good
seq_0048.npy,94,7,good
seq_0049.npy,96,8,good
seq_0050.npy,77,8,medium
seq_0051.npy,76,8,medium
seq_0052.npy,59,5,medium
seq_0053.npy,66,4,medium
seq_0054.npy,74,4,medium
seq_0055.npy,68,6,medium
seq_0056.npy,76,6,medium
seq_0057.npy,69,7,medium
seq_0058.npy,52,4,medium
seq_0059.npy,73,8,medium
seq_0060.npy,59,7,medium
seq_0061.npy,64,5,medium
seq_0062.npy,77,5,medium
seq_0063.npy,57,5,medium
seq_0064.npy,74,8,medium
seq_0065.npy,78,7,medium
seq_0066.npy,75,6,medium
seq_0067.npy,75,7,medium
seq_0068.npy,60,4,medium
seq_0069.npy,54,7,medium
seq_0070.npy,67,7,medium
seq_0071.npy,54,7,medium
seq_0072.npy,73,5,medium
seq_0073.npy,67,7,medium
seq_0074.npy,61,7,medium
seq_0075.npy,59,4,medium
seq_0076.npy,77,4,medium
seq_0077.npy,58,6,medium
seq_0078.npy,62,6,medium
seq_0079.npy,60,5,medium
seq_0080.npy,61,5,medium
seq_0081.npy,77,7,medium
seq_0082.npy,73,5,medium
seq_0083.npy,68,8,medium
seq_0084.npy,63,8,medium
seq_0085.npy,76,5,medium
seq_0086.npy,52,8,medium
seq_0087.npy,71,5,medium
seq_0088.npy,57,8,medium
seq_0089.npy,71,4,medium
seq_0090.npy,77,8,medium
seq_0091.npy,54,4,medium
seq_0092.npy,59,6,medium
seq_0093.npy,65,7,medium
seq_0094.npy,66,7,medium
seq_0095.npy,56,8,medium
seq_0096.npy,54,7,medium
seq_0097.npy,74,8,medium
seq_0098.npy,67,4,medium
seq_0099.npy,64,8,medium
seq_0100.npy,24,7,bad
seq_0101.npy,32,4,bad
seq_0102.npy,27,6,bad
seq_0103.npy,30,6,bad
seq_0104.npy,36,7,bad
seq_0105.npy,35,8,bad
seq_0106.npy,20,5,bad
seq_0107.npy,42,5,bad
seq_0108.npy,32,5,bad
seq_0109.npy,44,5,bad
seq_0110.npy,24,7,bad
seq_0111.npy,36,6,bad
seq_0112.npy,32,8,bad
seq_0113.npy,41,4,bad
seq_0114.npy,36,7,bad
seq_0115.npy,33,6,bad
seq_0116.npy,39,8,bad
seq_0117.npy,43,4,bad
seq_0118.npy,26,5,bad
seq_0119.npy,36,6,bad
seq_0120.npy,45,7,bad
seq_0121.npy,45,7,bad
seq_0122.npy,39,8,bad
seq_0123.npy,48,7,bad
seq_0124.npy,44,8,bad
seq_0125.npy,47,7,bad
seq_0126.npy,41,8,bad
seq_0127.npy,34,8,bad
seq_0128.npy,35,6,bad
seq_0129.npy,39,5,bad
seq_0130.npy,20,6,bad
seq_0131.npy,24,4,bad
seq_0132.npy,47,7,bad
seq_0133.npy,23,7,bad
seq_0134.npy,35,6,bad
seq_0135.npy,34,4,bad
seq_0136.npy,47,5,bad
seq_0137.npy,29,6,bad
seq_0138.npy,31,6,bad
seq_0139.npy,25,7,bad
seq_0140.npy,22,6,bad
seq_0141.npy,26,5,bad
seq_0142.npy,42,6,bad
seq_0143.npy,26,6,bad
seq_0144.npy,45,4,bad
seq_0145.npy,27,7,bad
seq_0146.npy,35,8,bad
seq_0147.npy,26,8,bad
seq_0148.npy,30,4,bad
seq_0149.npy,37,8,bad
