sequence,score,reps,quality
seq_0000.npy,95,4,good
seq_0001.npy,90,6,good
seq_0002.npy,89,7,good
seq_0003.npy,93,4,good
seq_0004.npy,82,4,good
seq_0005.npy,87,5,good
seq_0006.npy,93,6,good
seq_0007.npy,82,5,good
seq_0008.npy,86,7,good
seq_0009.npy,86,5,good
seq_0010.npy,98,6,good
seq_0011.npy,97,4,good
seq_0012.npy,91,5,good
seq_0013.npy,93,5,good
seq_0014.npy,92,8,good
seq_0015.npy,90,6,good
seq_0016.npy,88,4,good
seq_0017.npy,97,8,good
seq_0018.npy,88,8,good
seq_0019.npy,96,4,good
seq_0020.npy,86,4,good
seq_0021.npy,85,4,good
seq_0022.npy,92,4,good
seq_0023.npy,94,8,good
seq_0024.npy,96,7,good
seq_0025.npy,86,6,good
seq_0026.npy,95,7,good
seq_0027.npy,86,6,good
seq_0028.npy,98,4,good
seq_0029.npy,88,7,good
seq_0030.npy,96,8,good
seq_0031.npy,95,7,good
seq_0032.npy,93,4,good
seq_0033.npy,96,5,good
seq_0034.npy,94,6,good
seq_0035.npy,84,7,good
seq_0036.npy,92,6,good
seq_0037.npy,85,6,good
seq_0038.npy,83,6,good
seq_0039.npy,84,7,good
seq_0040.npy,98,5,good
seq_0041.npy,83,8,good
seq_0042.npy,94,4,good
seq_0043.npy,88,7,good
seq_0044.npy,98,8,good
seq_0045.npy,86,6,good
seq_0046.npy,95,4,good
seq_0047.npy,88,8,good
seq_0048.npy,90,5,good
seq_0049.npy,90,8,good
seq_0050.npy,71,8,medium
seq_0051.npy,54,5,medium
seq_0052.npy,61,6,medium
seq_0053.npy,62,7,medium
seq_0054.npy,75,4,medium
seq_0055.npy,53,7,medium
seq_0056.npy,57,8,medium
seq_0057.npy,66,6,medium
seq_0058.npy,71,4,medium
seq_0059.npy,53,6,medium
seq_0060.npy,71,8,medium
seq_0061.npy,59,6,medium
seq_0062.npy,74,5,medium
seq_0063.npy,53,5,medium
seq_0064.npy,74,7,medium
seq_0065.npy,56,7,medium
seq_0066.npy,69,7,medium
seq_0067.npy,57,4,medium
seq_0068.npy,66,8,medium
seq_0069.npy,56,8,medium
seq_0070.npy,63,6,medium
seq_0071.npy,63,6,medium
seq_0072.npy,58,4,medium
seq_0073.npy,56,8,medium
seq_0074.npy,70,7,medium
seq_0075.npy,74,7,medium
seq_0076.npy,77,7,medium
seq_0077.npy,63,4,medium
seq_0078.npy,75,4,medium
seq_0079.npy,62,5,medium
seq_0080.npy,65,7,medium
seq_0081.npy,64,4,medium
seq_0082.npy,67,6,medium
seq_0083.npy,70,8,medium
seq_0084.npy,75,7,medium
seq_0085.npy,60,8,medium
seq_0086.npy,71,8,medium
seq_0087.npy,78,7,medium
seq_0088.npy,57,7,medium
seq_0089.npy,67,8,medium
seq_0090.npy,60,7,medium
seq_0091.npy,53,5,medium
seq_0092.npy,77,7,medium
seq_0093.npy,58,7,medium
seq_0094.npy,63,6,medium
seq_0095.npy,70,7,medium
seq_0096.npy,60,5,medium
seq_0097.npy,77,5,medium
seq_0098.npy,60,4,medium
seq_0099.npy,57,6,medium
seq_0100.npy,34,8,bad
seq_0101.npy,28,7,bad
seq_0102.npy,32,5,bad
seq_0103.npy,25,6,bad
seq_0104.npy,42,4,bad
seq_0105.npy,23,7,bad
seq_0106.npy,24,7,bad
seq_0107.npy,46,8,bad
seq_0108.npy,35,6,bad
seq_0109.npy,33,4,bad
seq_0110.npy,43,4,bad
seq_0111.npy,39,8,bad
seq_0112.npy,42,6,bad
seq_0113.npy,32,4,bad
seq_0114.npy,22,4,bad
seq_0115.npy,33,8,bad
seq_0116.npy,26,6,bad
seq_0117.npy,47,5,bad
seq_0118.npy,38,6,bad
seq_0119.npy,41,6,bad
seq_0120.npy,23,5,bad
seq_0121.npy,33,6,bad
seq_0122.npy,25,7,bad
seq_0123.npy,42,4,bad
seq_0124.npy,39,7,bad
seq_0125.npy,39,6,bad
seq_0126.npy,27,4,bad
seq_0127.npy,22,7,bad
seq_0128.npy,43,7,bad
seq_0129.npy,41,4,bad
seq_0130.npy,36,5,bad
seq_0131.npy,21,5,bad
seq_0132.npy,26,4,bad
seq_0133.npy,41,7,bad
seq_0134.npy,21,7,bad
seq_0135.npy,21,6,bad
seq_0136.npy,24,5,bad
seq_0137.npy,41,7,bad
seq_0138.npy,42,6,bad
seq_0139.npy,30,7,bad
seq_0140.npy,25,4,bad
seq_0141.npy,26,6,bad
seq_0142.npy,20,4,bad
seq_0143.npy,35,4,bad
seq_0144.npy,40,6,bad
seq_0145.npy,45,4,bad
seq_0146.npy,26,5,bad
seq_0147.npy,34,4,bad
seq_0148.npy,47,5,bad
seq_0149.npy,27,7,bad
