sequence,score,reps,quality
seq_0000.npy,85,5,good
seq_0001.npy,83,6,good
seq_0002.npy,92,8,good
seq_0003.npy,97,8,good
seq_0004.npy,96,6,good
seq_0005.npy,84,5,good
seq_0006.npy,94,4,good
seq_0007.npy,82,5,good
seq_0008.npy,90,7,good
seq_0009.npy,87,6,good
seq_0010.npy,89,4,good
seq_0011.npy,83,6,good
seq_0012.npy,92,7,good
seq_0013.npy,85,4,good
seq_0014.npy,84,5,good
seq_0015.npy,85,5,good
seq_0016.npy,93,5,good
seq_0017.npy,91,5,good
seq_0018.npy,92,6,good
seq_0019.npy,91,4,good
seq_0020.npy,96,5,good
seq_0021.npy,88,6,good
seq_0022.npy,87,8,good
seq_0023.npy,89,8,good
seq_0024.npy,87,8,good
seq_0025.npy,82,4,good
seq_0026.npy,91,7,good
seq_0027.npy,84,5,good
seq_0028.npy,85,4,good
seq_0029.npy,91,4,good
seq_0030.npy,96,4,good
seq_0031.npy,96,7,good
seq_0032.npy,91,4,good
seq_0033.npy,94,8,good
seq_0034.npy,93,8,good
seq_0035.npy,93,4,good
seq_0036.npy,82,8,good
seq_0037.npy,83,4,good
seq_0038.npy,89,6,good
seq_0039.npy,85,6,good
seq_0040.npy,86,6,good
seq_0041.npy,94,5,good
seq_0042.npy,89,8,good
seq_0043.npy,82,4,good
seq_0044.npy,94,4,good
seq_0045.npy,96,4,good
seq_0046.npy,84,5,good
seq_0047.npy,83,5,good
seq_0048.npy,82,5,good
seq_0049.npy,85,4,good
seq_0050.npy,62,7,medium
seq_0051.npy,69,5,medium
seq_0052.npy,78,8,medium
seq_0053.npy,72,7,medium
seq_0054.npy,62,7,medium
seq_0055.npy,73,6,medium
seq_0056.npy,75,6,medium
seq_0057.npy,60,4,medium
seq_0058.npy,76,8,medium
seq_0059.npy,75,7,medium
seq_0060.npy,69,5,medium
seq_0061.npy,56,6,medium
seq_0062.npy,77,8,medium
seq_0063.npy,69,5,medium
seq_0064.npy,73,7,medium
seq_0065.npy,70,7,medium
seq_0066.npy,75,8,medium
seq_0067.npy,69,5,medium
seq_0068.npy,58,4,medium
seq_0069.npy,68,6,medium
seq_0070.npy,64,6,medium
seq_0071.npy,52,6,medium
seq_0072.npy,53,8,medium
seq_0073.npy,77,6,medium
seq_0074.npy,59,7,medium
seq_0075.npy,56,6,medium
seq_0076.npy,62,4,medium
seq_0077.npy,73,6,medium
seq_0078.npy,60,8,medium
seq_0079.npy,62,6,medium
seq_0080.npy,73,7,medium
seq_0081.npy,64,4,medium
seq_0082.npy,67,4,medium
seq_0083.npy,69,8,medium
seq_0084.npy,77,8,medium
seq_0085.npy,68,8,medium
seq_0086.npy,68,4,medium
seq_0087.npy,54,4,medium
seq_0088.npy,56,5,medium
seq_0089.npy,52,7,medium
seq_0090.npy,60,4,medium
seq_0091.npy,70,4,medium
seq_0092.npy,60,6,medium
seq_0093.npy,72,5,medium
seq_0094.npy,52,5,medium
seq_0095.npy,64,6,medium
seq_0096.npy,77,7,medium
seq_0097.npy,67,6,medium
seq_0098.npy,53,7,medium
seq_0099.npy,55,5,medium
seq_0100.npy,46,5,bad
seq_0101.npy,28,6,bad
seq_0102.npy,34,5,bad
seq_0103.npy,20,6,bad
seq_0104.npy,46,5,bad
seq_0105.npy,30,8,bad
seq_0106.npy,45,4,bad
seq_0107.npy,34,8,bad
seq_0108.npy,22,6,bad
seq_0109.npy,38,5,bad
seq_0110.npy,22,7,bad
seq_0111.npy,48,7,bad
seq_0112.npy,22,7,bad
seq_0113.npy,44,4,bad
seq_0114.npy,30,7,bad
seq_0115.npy,42,4,bad
seq_0116.npy,39,5,bad
seq_0117.npy,45,8,bad
seq_0118.npy,42,5,bad
seq_0119.npy,42,5,bad
seq_0120.npy,34,5,bad
seq_0121.npy,45,6,bad
seq_0122.npy,33,8,bad
seq_0123.npy,41,4,bad
seq_0124.npy,47,7,bad
seq_0125.npy,26,6,bad
seq_0126.npy,34,5,bad
seq_0127.npy,23,4,bad
seq_0128.npy,42,6,bad
seq_0129.npy,24,8,bad
seq_0130.npy,21,5,bad
seq_0131.npy,25,6,bad
seq_0132.npy,35,4,bad
seq_0133.npy,46,8,bad
seq_0134.npy,28,5,bad
seq_0135.npy,29,4,bad
seq_0136.npy,28,4,bad
seq_0137.npy,38,7,bad
seq_0138.npy,20,4,bad
seq_0139.npy,44,6,bad
seq_0140.npy,48,4,bad
seq_0141.npy,26,5,bad
seq_0142.npy,20,5,bad
seq_0143.npy,47,6,bad
seq_0144.npy,45,8,bad
seq_0145.npy,42,5,bad
seq_0146.npy,31,8,bad
seq_0147.npy,44,5,bad
seq_0148.npy,24,6,bad
seq_0149.npy,23,5,bad
