sequence,score,reps,source
seq_00000.npy,93.0,4,custom
seq_00001.npy,82.0,7,custom
seq_00002.npy,97.0,8,custom
seq_00003.npy,82.0,8,custom
seq_00004.npy,92.0,4,custom
seq_00005.npy,98.0,7,custom
seq_00006.npy,97.0,8,custom
seq_00007.npy,82.0,6,custom
seq_00008.npy,85.0,4,custom
seq_00009.npy,82.0,8,custom
seq_00010.npy,96.0,7,custom
seq_00011.npy,90.0,6,custom
seq_00012.npy,86.0,4,custom
seq_00013.npy,91.0,4,custom
seq_00014.npy,84.0,6,custom
seq_00015.npy,98.0,6,custom
seq_00016.npy,84.0,8,custom
seq_00017.npy,97.0,7,custom
seq_00018.npy,88.0,5,custom
seq_00019.npy,97.0,7,custom
seq_00020.npy,98.0,4,custom
seq_00021.npy,87.0,6,custom
seq_00022.npy,96.0,7,custom
seq_00023.npy,96.0,4,custom
seq_00024.npy,82.0,7,custom
seq_00025.npy,88.0,7,custom
seq_00026.npy,86.0,7,custom
seq_00027.npy,86.0,8,custom
seq_00028.npy,91.0,4,custom
seq_00029.npy,88.0,7,custom
seq_00030.npy,86.0,5,custom
seq_00031.npy,91.0,4,custom
seq_00032.npy,87.0,4,custom
seq_00033.npy,89.0,8,custom
seq_00034.npy,87.0,7,custom
seq_00035.npy,92.0,6,custom
seq_00036.npy,97.0,8,custom
seq_00037.npy,87.0,6,custom
seq_00038.npy,85.0,4,custom
seq_00039.npy,84.0,6,custom
seq_00040.npy,95.0,6,custom
seq_00041.npy,97.0,7,custom
seq_00042.npy,94.0,8,custom
seq_00043.npy,98.0,5,custom
seq_00044.npy,90.0,6,custom
seq_00045.npy,84.0,7,custom
seq_00046.npy,91.0,8,custom
seq_00047.npy,98.0,4,custom
seq_00048.npy,98.0,8,custom
seq_00049.npy,88.0,7,custom
seq_00050.npy,73.0,4,custom
seq_00051.npy,64.0,8,custom
seq_00052.npy,61.0,6,custom
seq_00053.npy,56.0,7,custom
seq_00054.npy,73.0,6,custom
seq_00055.npy,77.0,4,custom
seq_00056.npy,72.0,4,custom
seq_00057.npy,68.0,5,custom
seq_00058.npy,65.0,8,custom
seq_00059.npy,64.0,8,custom
seq_00060.npy,65.0,4,custom
seq_00061.npy,59.0,5,custom
seq_00062.npy,60.0,6,custom
seq_00063.npy,58.0,7,custom
seq_00064.npy,61.0,4,custom
seq_00065.npy,60.0,4,custom
seq_00066.npy,70.0,7,custom
seq_00067.npy,74.0,4,custom
seq_00068.npy,58.0,4,custom
seq_00069.npy,66.0,7,custom
seq_00070.npy,59.0,4,custom
seq_00071.npy,67.0,8,custom
seq_00072.npy,76.0,6,custom
seq_00073.npy,60.0,7,custom
seq_00074.npy,72.0,6,custom
seq_00075.npy,74.0,4,custom
seq_00076.npy,57.0,6,custom
seq_00077.npy,74.0,7,custom
seq_00078.npy,71.0,5,custom
seq_00079.npy,78.0,5,custom
seq_00080.npy,76.0,5,custom
seq_00081.npy,72.0,8,custom
seq_00082.npy,53.0,7,custom
seq_00083.npy,66.0,8,custom
seq_00084.npy,70.0,5,custom
seq_00085.npy,72.0,8,custom
seq_00086.npy,52.0,4,custom
seq_00087.npy,76.0,6,custom
seq_00088.npy,73.0,8,custom
seq_00089.npy,61.0,8,custom
seq_00090.npy,68.0,4,custom
seq_00091.npy,52.0,7,custom
seq_00092.npy,73.0,8,custom
seq_00093.npy,56.0,4,custom
seq_00094.npy,61.0,4,custom
seq_00095.npy,58.0,6,custom
seq_00096.npy,73.0,6,custom
seq_00097.npy,54.0,4,custom
seq_00098.npy,55.0,6,custom
seq_00099.npy,54.0,7,custom
seq_00100.npy,26.0,6,custom
seq_00101.npy,42.0,8,custom
seq_00102.npy,30.0,7,custom
seq_00103.npy,35.0,4,custom
seq_00104.npy,29.0,5,custom
seq_00105.npy,44.0,7,custom
seq_00106.npy,26.0,6,custom
seq_00107.npy,22.0,5,custom
seq_00108.npy,24.0,8,custom
seq_00109.npy,25.0,5,custom
seq_00110.npy,30.0,4,custom
seq_00111.npy,31.0,7,custom
seq_00112.npy,47.0,7,custom
seq_00113.npy,21.0,5,custom
seq_00114.npy,38.0,8,custom
seq_00115.npy,41.0,4,custom
seq_00116.npy,47.0,6,custom
seq_00117.npy,24.0,5,custom
seq_00118.npy,33.0,7,custom
seq_00119.npy,29.0,8,custom
seq_00120.npy,48.0,6,custom
seq_00121.npy,28.0,6,custom
seq_00122.npy,43.0,8,custom
seq_00123.npy,28.0,8,custom
seq_00124.npy,42.0,4,custom
seq_00125.npy,46.0,8,custom
seq_00126.npy,37.0,5,custom
seq_00127.npy,43.0,7,custom
seq_00128.npy,21.0,6,custom
seq_00129.npy,25.0,7,custom
seq_00130.npy,24.0,7,custom
seq_00131.npy,37.0,6,custom
seq_00132.npy,22.0,5,custom
seq_00133.npy,32.0,6,custom
seq_00134.npy,29.0,6,custom
seq_00135.npy,28.0,7,custom
seq_00136.npy,48.0,4,custom
seq_00137.npy,41.0,6,custom
seq_00138.npy,39.0,5,custom
seq_00139.npy,31.0,5,custom
seq_00140.npy,23.0,4,custom
seq_00141.npy,31.0,8,custom
seq_00142.npy,30.0,8,custom
seq_00143.npy,38.0,4,custom
seq_00144.npy,40.0,4,custom
seq_00145.npy,48.0,7,custom
seq_00146.npy,41.0,7,custom
seq_00147.npy,40.0,5,custom
seq_00148.npy,46.0,7,custom
seq_00149.npy,45.0,4,custom
seq_00150.npy,75.0,5,custom
seq_00151.npy,75.0,5,custom
seq_00152.npy,75.0,5,custom
seq_00153.npy,75.0,5,custom
seq_00154.npy,75.0,5,custom
seq_00155.npy,75.0,5,custom
seq_00156.npy,75.0,5,custom
seq_00157.npy,75.0,5,custom
seq_00158.npy,75.0,5,custom
seq_00159.npy,75.0,5,custom
seq_00160.npy,75.0,5,custom
seq_00161.npy,75.0,5,custom
seq_00162.npy,75.0,5,custom
seq_00163.npy,75.0,5,custom
seq_00164.npy,75.0,5,custom
seq_00165.npy,75.0,5,custom
seq_00166.npy,75.0,5,custom
seq_00167.npy,75.0,5,custom
seq_00168.npy,75.0,5,custom
seq_00169.npy,75.0,5,custom
seq_00170.npy,75.0,5,custom
seq_00171.npy,75.0,5,custom
seq_00172.npy,75.0,5,custom
seq_00173.npy,75.0,5,custom
seq_00174.npy,75.0,5,custom
seq_00175.npy,75.0,5,custom
seq_00176.npy,75.0,5,custom
seq_00177.npy,75.0,5,custom
seq_00178.npy,75.0,5,custom
seq_00179.npy,75.0,5,custom
seq_00180.npy,75.0,5,custom
seq_00181.npy,75.0,5,custom
seq_00182.npy,75.0,5,custom
seq_00183.npy,75.0,5,custom
seq_00184.npy,75.0,5,custom
seq_00185.npy,75.0,5,custom
seq_00186.npy,75.0,5,custom
seq_00187.npy,75.0,5,custom
seq_00188.npy,75.0,5,custom
seq_00189.npy,75.0,5,custom
seq_00190.npy,75.0,5,custom
seq_00191.npy,75.0,5,custom
seq_00192.npy,75.0,5,custom
seq_00193.npy,75.0,5,custom
seq_00194.npy,75.0,5,custom
seq_00195.npy,75.0,5,custom
seq_00196.npy,75.0,5,custom
seq_00197.npy,75.0,5,custom
seq_00198.npy,75.0,5,custom
seq_00199.npy,75.0,5,custom
seq_00200.npy,75.0,5,custom
seq_00201.npy,75.0,5,custom
seq_00202.npy,75.0,5,custom
seq_00203.npy,75.0,5,custom
seq_00204.npy,75.0,5,custom
seq_00205.npy,75.0,5,custom
seq_00206.npy,75.0,5,custom
seq_00207.npy,75.0,5,custom
seq_00208.npy,75.0,5,custom
seq_00209.npy,75.0,5,custom
seq_00210.npy,75.0,5,custom
seq_00211.npy,75.0,5,custom
seq_00212.npy,75.0,5,custom
seq_00213.npy,75.0,5,custom
seq_00214.npy,75.0,5,custom
seq_00215.npy,75.0,5,custom
seq_00216.npy,75.0,5,custom
