sequence,score,reps,source
seq_00000.npy,97.0,5,custom
seq_00001.npy,84.0,4,custom
seq_00002.npy,92.0,8,custom
seq_00003.npy,89.0,7,custom
seq_00004.npy,88.0,5,custom
seq_00005.npy,85.0,7,custom
seq_00006.npy,91.0,5,custom
seq_00007.npy,84.0,5,custom
seq_00008.npy,84.0,7,custom
seq_00009.npy,95.0,7,custom
seq_00010.npy,94.0,7,custom
seq_00011.npy,90.0,6,custom
seq_00012.npy,85.0,6,custom
seq_00013.npy,83.0,7,custom
seq_00014.npy,84.0,4,custom
seq_00015.npy,96.0,7,custom
seq_00016.npy,86.0,6,custom
seq_00017.npy,88.0,4,custom
seq_00018.npy,85.0,4,custom
seq_00019.npy,91.0,6,custom
seq_00020.npy,84.0,8,custom
seq_00021.npy,91.0,8,custom
seq_00022.npy,97.0,7,custom
seq_00023.npy,91.0,5,custom
seq_00024.npy,87.0,7,custom
seq_00025.npy,91.0,4,custom
seq_00026.npy,90.0,4,custom
seq_00027.npy,82.0,5,custom
seq_00028.npy,93.0,5,custom
seq_00029.npy,98.0,6,custom
seq_00030.npy,98.0,5,custom
seq_00031.npy,86.0,8,custom
seq_00032.npy,97.0,4,custom
seq_00033.npy,89.0,5,custom
seq_00034.npy,96.0,8,custom
seq_00035.npy,96.0,8,custom
seq_00036.npy,83.0,6,custom
seq_00037.npy,88.0,8,custom
seq_00038.npy,86.0,4,custom
seq_00039.npy,94.0,4,custom
seq_00040.npy,89.0,6,custom
seq_00041.npy,88.0,5,custom
seq_00042.npy,93.0,8,custom
seq_00043.npy,84.0,6,custom
seq_00044.npy,84.0,8,custom
seq_00045.npy,87.0,7,custom
seq_00046.npy,89.0,5,custom
seq_00047.npy,91.0,7,custom
seq_00048.npy,87.0,8,custom
seq_00049.npy,88.0,7,custom
seq_00050.npy,61.0,4,custom
seq_00051.npy,64.0,5,custom
seq_00052.npy,76.0,5,custom
seq_00053.npy,55.0,5,custom
seq_00054.npy,78.0,7,custom
seq_00055.npy,71.0,5,custom
seq_00056.npy,52.0,5,custom
seq_00057.npy,57.0,7,custom
seq_00058.npy,54.0,6,custom
seq_00059.npy,61.0,7,custom
seq_00060.npy,58.0,5,custom
seq_00061.npy,77.0,6,custom
seq_00062.npy,67.0,5,custom
seq_00063.npy,68.0,7,custom
seq_00064.npy,78.0,8,custom
seq_00065.npy,78.0,4,custom
seq_00066.npy,61.0,5,custom
seq_00067.npy,58.0,4,custom
seq_00068.npy,65.0,5,custom
seq_00069.npy,78.0,6,custom
seq_00070.npy,58.0,8,custom
seq_00071.npy,56.0,5,custom
seq_00072.npy,74.0,4,custom
seq_00073.npy,57.0,4,custom
seq_00074.npy,64.0,8,custom
seq_00075.npy,69.0,4,custom
seq_00076.npy,73.0,7,custom
seq_00077.npy,62.0,8,custom
seq_00078.npy,65.0,8,custom
seq_00079.npy,70.0,6,custom
seq_00080.npy,68.0,8,custom
seq_00081.npy,78.0,4,custom
seq_00082.npy,76.0,6,custom
seq_00083.npy,68.0,4,custom
seq_00084.npy,71.0,6,custom
seq_00085.npy,52.0,5,custom
seq_00086.npy,67.0,6,custom
seq_00087.npy,73.0,7,custom
seq_00088.npy,65.0,4,custom
seq_00089.npy,64.0,8,custom
seq_00090.npy,69.0,4,custom
seq_00091.npy,58.0,7,custom
seq_00092.npy,74.0,8,custom
seq_00093.npy,69.0,7,custom
seq_00094.npy,67.0,4,custom
seq_00095.npy,55.0,4,custom
seq_00096.npy,71.0,4,custom
seq_00097.npy,72.0,5,custom
seq_00098.npy,69.0,8,custom
seq_00099.npy,70.0,7,custom
seq_00100.npy,27.0,5,custom
seq_00101.npy,35.0,7,custom
seq_00102.npy,47.0,4,custom
seq_00103.npy,47.0,6,custom
seq_00104.npy,44.0,4,custom
seq_00105.npy,31.0,5,custom
seq_00106.npy,38.0,7,custom
seq_00107.npy,26.0,6,custom
seq_00108.npy,20.0,5,custom
seq_00109.npy,23.0,7,custom
seq_00110.npy,36.0,5,custom
seq_00111.npy,45.0,6,custom
seq_00112.npy,27.0,7,custom
seq_00113.npy,40.0,8,custom
seq_00114.npy,21.0,6,custom
seq_00115.npy,24.0,7,custom
seq_00116.npy,42.0,8,custom
seq_00117.npy,28.0,4,custom
seq_00118.npy,26.0,8,custom
seq_00119.npy,35.0,7,custom
seq_00120.npy,36.0,6,custom
seq_00121.npy,28.0,5,custom
seq_00122.npy,27.0,8,custom
seq_00123.npy,40.0,5,custom
seq_00124.npy,22.0,6,custom
seq_00125.npy,29.0,8,custom
seq_00126.npy,28.0,5,custom
seq_00127.npy,22.0,8,custom
seq_00128.npy,42.0,5,custom
seq_00129.npy,27.0,5,custom
seq_00130.npy,27.0,6,custom
seq_00131.npy,20.0,7,custom
seq_00132.npy,44.0,8,custom
seq_00133.npy,29.0,8,custom
seq_00134.npy,29.0,7,custom
seq_00135.npy,40.0,6,custom
seq_00136.npy,41.0,6,custom
seq_00137.npy,32.0,6,custom
seq_00138.npy,22.0,4,custom
seq_00139.npy,42.0,6,custom
seq_00140.npy,40.0,6,custom
seq_00141.npy,24.0,4,custom
seq_00142.npy,20.0,4,custom
seq_00143.npy,42.0,7,custom
seq_00144.npy,45.0,8,custom
seq_00145.npy,38.0,8,custom
seq_00146.npy,47.0,4,custom
seq_00147.npy,28.0,8,custom
seq_00148.npy,21.0,4,custom
seq_00149.npy,47.0,8,custom
seq_00150.npy,93.0,5,ntu_syn
seq_00151.npy,80.0,5,ntu_syn
seq_00152.npy,77.0,5,ntu_syn
seq_00153.npy,95.0,5,ntu_syn
seq_00154.npy,88.0,5,ntu_syn
seq_00155.npy,86.0,5,ntu_syn
seq_00156.npy,94.0,5,ntu_syn
seq_00157.npy,95.0,5,ntu_syn
seq_00158.npy,83.0,5,ntu_syn
seq_00159.npy,92.0,5,ntu_syn
seq_00160.npy,77.0,5,ntu_syn
seq_00161.npy,88.0,5,ntu_syn
seq_00162.npy,82.0,5,ntu_syn
seq_00163.npy,88.0,5,ntu_syn
seq_00164.npy,94.0,5,ntu_syn
seq_00165.npy,62.0,5,ntu_syn
seq_00166.npy,58.0,5,ntu_syn
seq_00167.npy,50.0,5,ntu_syn
seq_00168.npy,63.0,5,ntu_syn
seq_00169.npy,69.0,5,ntu_syn
seq_00170.npy,65.0,5,ntu_syn
seq_00171.npy,59.0,5,ntu_syn
seq_00172.npy,66.0,5,ntu_syn
seq_00173.npy,57.0,5,ntu_syn
seq_00174.npy,74.0,5,ntu_syn
seq_00175.npy,66.0,5,ntu_syn
seq_00176.npy,64.0,5,ntu_syn
seq_00177.npy,65.0,5,ntu_syn
seq_00178.npy,52.0,5,ntu_syn
seq_00179.npy,50.0,5,ntu_syn
seq_00180.npy,43.0,5,ntu_syn
seq_00181.npy,37.0,5,ntu_syn
seq_00182.npy,47.0,5,ntu_syn
seq_00183.npy,27.0,5,ntu_syn
seq_00184.npy,36.0,5,ntu_syn
seq_00185.npy,30.0,5,ntu_syn
seq_00186.npy,39.0,5,ntu_syn
seq_00187.npy,29.0,5,ntu_syn
seq_00188.npy,35.0,5,ntu_syn
seq_00189.npy,32.0,5,ntu_syn
seq_00190.npy,36.0,5,ntu_syn
seq_00191.npy,41.0,5,ntu_syn
seq_00192.npy,49.0,5,ntu_syn
seq_00193.npy,39.0,5,ntu_syn
seq_00194.npy,23.0,5,ntu_syn
