sequence,score,reps,source
seq_00000.npy,88.0,4,custom
seq_00001.npy,82.0,7,custom
seq_00002.npy,88.0,6,custom
seq_00003.npy,86.0,6,custom
seq_00004.npy,86.0,7,custom
seq_00005.npy,88.0,4,custom
seq_00006.npy,97.0,4,custom
seq_00007.npy,96.0,6,custom
seq_00008.npy,98.0,4,custom
seq_00009.npy,97.0,8,custom
seq_00010.npy,98.0,6,custom
seq_00011.npy,83.0,6,custom
seq_00012.npy,90.0,8,custom
seq_00013.npy,85.0,6,custom
seq_00014.npy,93.0,8,custom
seq_00015.npy,89.0,8,custom
seq_00016.npy,95.0,5,custom
seq_00017.npy,91.0,7,custom
seq_00018.npy,94.0,7,custom
seq_00019.npy,88.0,8,custom
seq_00020.npy,85.0,5,custom
seq_00021.npy,95.0,4,custom
seq_00022.npy,95.0,8,custom
seq_00023.npy,96.0,6,custom
seq_00024.npy,86.0,7,custom
seq_00025.npy,86.0,6,custom
seq_00026.npy,92.0,4,custom
seq_00027.npy,87.0,8,custom
seq_00028.npy,88.0,6,custom
seq_00029.npy,95.0,8,custom
seq_00030.npy,86.0,6,custom
seq_00031.npy,94.0,8,custom
seq_00032.npy,86.0,4,custom
seq_00033.npy,97.0,6,custom
seq_00034.npy,93.0,5,custom
seq_00035.npy,91.0,5,custom
seq_00036.npy,88.0,8,custom
seq_00037.npy,85.0,6,custom
seq_00038.npy,94.0,5,custom
seq_00039.npy,89.0,5,custom
seq_00040.npy,86.0,5,custom
seq_00041.npy,83.0,7,custom
seq_00042.npy,90.0,5,custom
seq_00043.npy,98.0,5,custom
seq_00044.npy,91.0,4,custom
seq_00045.npy,87.0,5,custom
seq_00046.npy,84.0,5,custom
seq_00047.npy,90.0,5,custom
seq_00048.npy,89.0,5,custom
seq_00049.npy,83.0,5,custom
seq_00050.npy,73.0,7,custom
seq_00051.npy,57.0,4,custom
seq_00052.npy,55.0,4,custom
seq_00053.npy,78.0,6,custom
seq_00054.npy,63.0,4,custom
seq_00055.npy,67.0,8,custom
seq_00056.npy,75.0,7,custom
seq_00057.npy,61.0,8,custom
seq_00058.npy,72.0,6,custom
seq_00059.npy,68.0,5,custom
seq_00060.npy,75.0,5,custom
seq_00061.npy,68.0,8,custom
seq_00062.npy,60.0,7,custom
seq_00063.npy,63.0,8,custom
seq_00064.npy,63.0,4,custom
seq_00065.npy,52.0,8,custom
seq_00066.npy,56.0,7,custom
seq_00067.npy,64.0,6,custom
seq_00068.npy,54.0,7,custom
seq_00069.npy,62.0,7,custom
seq_00070.npy,71.0,4,custom
seq_00071.npy,67.0,6,custom
seq_00072.npy,57.0,8,custom
seq_00073.npy,52.0,6,custom
seq_00074.npy,52.0,5,custom
seq_00075.npy,66.0,6,custom
seq_00076.npy,61.0,4,custom
seq_00077.npy,65.0,6,custom
seq_00078.npy,66.0,7,custom
seq_00079.npy,61.0,4,custom
seq_00080.npy,53.0,7,custom
seq_00081.npy,68.0,8,custom
seq_00082.npy,55.0,5,custom
seq_00083.npy,57.0,4,custom
seq_00084.npy,76.0,8,custom
seq_00085.npy,67.0,7,custom
seq_00086.npy,73.0,7,custom
seq_00087.npy,63.0,8,custom
seq_00088.npy,56.0,4,custom
seq_00089.npy,58.0,4,custom
seq_00090.npy,59.0,8,custom
seq_00091.npy,64.0,5,custom
seq_00092.npy,66.0,7,custom
seq_00093.npy,78.0,5,custom
seq_00094.npy,73.0,5,custom
seq_00095.npy,66.0,5,custom
seq_00096.npy,74.0,5,custom
seq_00097.npy,60.0,7,custom
seq_00098.npy,76.0,7,custom
seq_00099.npy,52.0,5,custom
seq_00100.npy,30.0,6,custom
seq_00101.npy,21.0,4,custom
seq_00102.npy,41.0,7,custom
seq_00103.npy,23.0,8,custom
seq_00104.npy,23.0,7,custom
seq_00105.npy,36.0,5,custom
seq_00106.npy,25.0,5,custom
seq_00107.npy,33.0,7,custom
seq_00108.npy,28.0,8,custom
seq_00109.npy,40.0,4,custom
seq_00110.npy,27.0,8,custom
seq_00111.npy,40.0,5,custom
seq_00112.npy,37.0,7,custom
seq_00113.npy,25.0,7,custom
seq_00114.npy,36.0,7,custom
seq_00115.npy,34.0,7,custom
seq_00116.npy,43.0,5,custom
seq_00117.npy,25.0,4,custom
seq_00118.npy,44.0,6,custom
seq_00119.npy,36.0,4,custom
seq_00120.npy,21.0,8,custom
seq_00121.npy,35.0,4,custom
seq_00122.npy,48.0,8,custom
seq_00123.npy,48.0,5,custom
seq_00124.npy,43.0,5,custom
seq_00125.npy,32.0,7,custom
seq_00126.npy,22.0,5,custom
seq_00127.npy,24.0,4,custom
seq_00128.npy,46.0,4,custom
seq_00129.npy,20.0,4,custom
seq_00130.npy,20.0,7,custom
seq_00131.npy,42.0,6,custom
seq_00132.npy,22.0,4,custom
seq_00133.npy,33.0,7,custom
seq_00134.npy,39.0,4,custom
seq_00135.npy,27.0,5,custom
seq_00136.npy,24.0,8,custom
seq_00137.npy,39.0,8,custom
seq_00138.npy,43.0,8,custom
seq_00139.npy,39.0,5,custom
seq_00140.npy,47.0,6,custom
seq_00141.npy,23.0,7,custom
