sequence,score,reps,source
seq_00000.npy,97.0,5,custom
seq_00001.npy,97.0,5,custom
seq_00002.npy,96.0,6,custom
seq_00003.npy,93.0,4,custom
seq_00004.npy,88.0,6,custom
seq_00005.npy,95.0,5,custom
seq_00006.npy,83.0,6,custom
seq_00007.npy,91.0,7,custom
seq_00008.npy,92.0,4,custom
seq_00009.npy,82.0,6,custom
seq_00010.npy,84.0,8,custom
seq_00011.npy,97.0,4,custom
seq_00012.npy,94.0,6,custom
seq_00013.npy,89.0,6,custom
seq_00014.npy,87.0,7,custom
seq_00015.npy,85.0,7,custom
seq_00016.npy,96.0,5,custom
seq_00017.npy,90.0,7,custom
seq_00018.npy,97.0,5,custom
seq_00019.npy,83.0,6,custom
seq_00020.npy,82.0,5,custom
seq_00021.npy,85.0,4,custom
seq_00022.npy,90.0,8,custom
seq_00023.npy,88.0,8,custom
seq_00024.npy,84.0,6,custom
seq_00025.npy,83.0,8,custom
seq_00026.npy,96.0,7,custom
seq_00027.npy,98.0,6,custom
seq_00028.npy,96.0,5,custom
seq_00029.npy,89.0,8,custom
seq_00030.npy,86.0,7,custom
seq_00031.npy,97.0,4,custom
seq_00032.npy,89.0,5,custom
seq_00033.npy,95.0,5,custom
seq_00034.npy,91.0,4,custom
seq_00035.npy,88.0,5,custom
seq_00036.npy,96.0,7,custom
seq_00037.npy,96.0,5,custom
seq_00038.npy,89.0,6,custom
seq_00039.npy,84.0,7,custom
seq_00040.npy,89.0,5,custom
seq_00041.npy,89.0,5,custom
seq_00042.npy,91.0,6,custom
seq_00043.npy,86.0,7,custom
seq_00044.npy,87.0,6,custom
seq_00045.npy,91.0,4,custom
seq_00046.npy,93.0,6,custom
seq_00047.npy,97.0,7,custom
seq_00048.npy,87.0,6,custom
seq_00049.npy,83.0,6,custom
seq_00050.npy,65.0,4,custom
seq_00051.npy,74.0,4,custom
seq_00052.npy,57.0,8,custom
seq_00053.npy,61.0,8,custom
seq_00054.npy,70.0,8,custom
seq_00055.npy,71.0,5,custom
seq_00056.npy,76.0,6,custom
seq_00057.npy,69.0,6,custom
seq_00058.npy,71.0,5,custom
seq_00059.npy,76.0,8,custom
seq_00060.npy,54.0,6,custom
seq_00061.npy,52.0,8,custom
seq_00062.npy,64.0,4,custom
seq_00063.npy,63.0,7,custom
seq_00064.npy,56.0,7,custom
seq_00065.npy,75.0,4,custom
seq_00066.npy,59.0,7,custom
seq_00067.npy,75.0,8,custom
seq_00068.npy,58.0,5,custom
seq_00069.npy,52.0,4,custom
seq_00070.npy,54.0,5,custom
seq_00071.npy,55.0,8,custom
seq_00072.npy,72.0,7,custom
seq_00073.npy,78.0,5,custom
seq_00074.npy,78.0,4,custom
seq_00075.npy,55.0,6,custom
seq_00076.npy,55.0,6,custom
seq_00077.npy,60.0,8,custom
seq_00078.npy,65.0,7,custom
seq_00079.npy,57.0,7,custom
seq_00080.npy,67.0,5,custom
seq_00081.npy,54.0,8,custom
seq_00082.npy,54.0,7,custom
seq_00083.npy,77.0,5,custom
seq_00084.npy,71.0,8,custom
seq_00085.npy,73.0,7,custom
seq_00086.npy,64.0,7,custom
seq_00087.npy,55.0,4,custom
seq_00088.npy,64.0,8,custom
seq_00089.npy,56.0,8,custom
seq_00090.npy,70.0,7,custom
seq_00091.npy,66.0,7,custom
seq_00092.npy,76.0,7,custom
seq_00093.npy,75.0,4,custom
seq_00094.npy,59.0,4,custom
seq_00095.npy,78.0,7,custom
seq_00096.npy,75.0,5,custom
seq_00097.npy,53.0,7,custom
seq_00098.npy,71.0,4,custom
seq_00099.npy,56.0,4,custom
seq_00100.npy,46.0,5,custom
seq_00101.npy,48.0,7,custom
seq_00102.npy,45.0,8,custom
seq_00103.npy,33.0,8,custom
seq_00104.npy,29.0,8,custom
