sequence,score,reps,source
seq_00000.npy,95.0,4,custom
seq_00001.npy,90.0,6,custom
seq_00002.npy,89.0,7,custom
seq_00003.npy,93.0,4,custom
seq_00004.npy,82.0,4,custom
seq_00005.npy,87.0,5,custom
seq_00006.npy,93.0,6,custom
seq_00007.npy,82.0,5,custom
seq_00008.npy,86.0,7,custom
seq_00009.npy,86.0,5,custom
seq_00010.npy,98.0,6,custom
seq_00011.npy,97.0,4,custom
seq_00012.npy,91.0,5,custom
seq_00013.npy,93.0,5,custom
seq_00014.npy,92.0,8,custom
seq_00015.npy,90.0,6,custom
seq_00016.npy,88.0,4,custom
seq_00017.npy,97.0,8,custom
seq_00018.npy,88.0,8,custom
seq_00019.npy,96.0,4,custom
seq_00020.npy,86.0,4,custom
seq_00021.npy,85.0,4,custom
seq_00022.npy,92.0,4,custom
seq_00023.npy,94.0,8,custom
seq_00024.npy,96.0,7,custom
seq_00025.npy,86.0,6,custom
seq_00026.npy,95.0,7,custom
seq_00027.npy,86.0,6,custom
seq_00028.npy,98.0,4,custom
seq_00029.npy,88.0,7,custom
seq_00030.npy,96.0,8,custom
seq_00031.npy,95.0,7,custom
seq_00032.npy,93.0,4,custom
seq_00033.npy,96.0,5,custom
seq_00034.npy,94.0,6,custom
seq_00035.npy,84.0,7,custom
seq_00036.npy,92.0,6,custom
seq_00037.npy,85.0,6,custom
seq_00038.npy,83.0,6,custom
seq_00039.npy,84.0,7,custom
seq_00040.npy,98.0,5,custom
seq_00041.npy,83.0,8,custom
seq_00042.npy,94.0,4,custom
seq_00043.npy,88.0,7,custom
seq_00044.npy,98.0,8,custom
seq_00045.npy,86.0,6,custom
seq_00046.npy,95.0,4,custom
seq_00047.npy,88.0,8,custom
seq_00048.npy,90.0,5,custom
seq_00049.npy,90.0,8,custom
seq_00050.npy,71.0,8,custom
seq_00051.npy,54.0,5,custom
seq_00052.npy,61.0,6,custom
seq_00053.npy,62.0,7,custom
seq_00054.npy,75.0,4,custom
seq_00055.npy,53.0,7,custom
seq_00056.npy,57.0,8,custom
seq_00057.npy,66.0,6,custom
seq_00058.npy,71.0,4,custom
seq_00059.npy,53.0,6,custom
seq_00060.npy,71.0,8,custom
seq_00061.npy,59.0,6,custom
seq_00062.npy,74.0,5,custom
seq_00063.npy,53.0,5,custom
seq_00064.npy,74.0,7,custom
seq_00065.npy,56.0,7,custom
seq_00066.npy,69.0,7,custom
seq_00067.npy,57.0,4,custom
seq_00068.npy,66.0,8,custom
seq_00069.npy,56.0,8,custom
seq_00070.npy,63.0,6,custom
seq_00071.npy,63.0,6,custom
seq_00072.npy,58.0,4,custom
seq_00073.npy,56.0,8,custom
seq_00074.npy,70.0,7,custom
seq_00075.npy,74.0,7,custom
seq_00076.npy,77.0,7,custom
seq_00077.npy,63.0,4,custom
seq_00078.npy,75.0,4,custom
seq_00079.npy,62.0,5,custom
seq_00080.npy,65.0,7,custom
seq_00081.npy,64.0,4,custom
seq_00082.npy,67.0,6,custom
seq_00083.npy,70.0,8,custom
seq_00084.npy,75.0,7,custom
seq_00085.npy,60.0,8,custom
seq_00086.npy,71.0,8,custom
seq_00087.npy,78.0,7,custom
seq_00088.npy,57.0,7,custom
seq_00089.npy,67.0,8,custom
seq_00090.npy,60.0,7,custom
seq_00091.npy,53.0,5,custom
seq_00092.npy,77.0,7,custom
seq_00093.npy,58.0,7,custom
seq_00094.npy,63.0,6,custom
seq_00095.npy,70.0,7,custom
seq_00096.npy,60.0,5,custom
seq_00097.npy,77.0,5,custom
seq_00098.npy,60.0,4,custom
seq_00099.npy,57.0,6,custom
seq_00100.npy,34.0,8,custom
seq_00101.npy,28.0,7,custom
seq_00102.npy,32.0,5,custom
seq_00103.npy,25.0,6,custom
seq_00104.npy,42.0,4,custom
seq_00105.npy,23.0,7,custom
seq_00106.npy,24.0,7,custom
seq_00107.npy,46.0,8,custom
seq_00108.npy,35.0,6,custom
seq_00109.npy,33.0,4,custom
seq_00110.npy,43.0,4,custom
seq_00111.npy,39.0,8,custom
seq_00112.npy,42.0,6,custom
seq_00113.npy,32.0,4,custom
seq_00114.npy,22.0,4,custom
seq_00115.npy,33.0,8,custom
seq_00116.npy,26.0,6,custom
seq_00117.npy,47.0,5,custom
seq_00118.npy,38.0,6,custom
seq_00119.npy,41.0,6,custom
seq_00120.npy,23.0,5,custom
seq_00121.npy,33.0,6,custom
seq_00122.npy,25.0,7,custom
seq_00123.npy,42.0,4,custom
seq_00124.npy,39.0,7,custom
seq_00125.npy,39.0,6,custom
seq_00126.npy,27.0,4,custom
seq_00127.npy,22.0,7,custom
seq_00128.npy,43.0,7,custom
seq_00129.npy,41.0,4,custom
seq_00130.npy,36.0,5,custom
seq_00131.npy,21.0,5,custom
seq_00132.npy,26.0,4,custom
seq_00133.npy,41.0,7,custom
seq_00134.npy,21.0,7,custom
seq_00135.npy,21.0,6,custom
seq_00136.npy,24.0,5,custom
seq_00137.npy,41.0,7,custom
seq_00138.npy,42.0,6,custom
seq_00139.npy,30.0,7,custom
seq_00140.npy,25.0,4,custom
seq_00141.npy,26.0,6,custom
seq_00142.npy,20.0,4,custom
seq_00143.npy,35.0,4,custom
seq_00144.npy,40.0,6,custom
seq_00145.npy,45.0,4,custom
seq_00146.npy,26.0,5,custom
seq_00147.npy,34.0,4,custom
seq_00148.npy,47.0,5,custom
seq_00149.npy,27.0,7,custom
seq_00150.npy,75.0,5,ntu_syn
seq_00151.npy,77.0,5,ntu_syn
seq_00152.npy,93.0,5,ntu_syn
seq_00153.npy,80.0,5,ntu_syn
seq_00154.npy,81.0,5,ntu_syn
seq_00155.npy,84.0,5,ntu_syn
seq_00156.npy,77.0,5,ntu_syn
seq_00157.npy,90.0,5,ntu_syn
seq_00158.npy,82.0,5,ntu_syn
seq_00159.npy,88.0,5,ntu_syn
seq_00160.npy,89.0,5,ntu_syn
seq_00161.npy,81.0,5,ntu_syn
seq_00162.npy,89.0,5,ntu_syn
seq_00163.npy,79.0,5,ntu_syn
seq_00164.npy,90.0,5,ntu_syn
seq_00165.npy,52.0,5,ntu_syn
seq_00166.npy,69.0,5,ntu_syn
seq_00167.npy,74.0,5,ntu_syn
seq_00168.npy,59.0,5,ntu_syn
seq_00169.npy,50.0,5,ntu_syn
seq_00170.npy,52.0,5,ntu_syn
seq_00171.npy,57.0,5,ntu_syn
seq_00172.npy,63.0,5,ntu_syn
seq_00173.npy,58.0,5,ntu_syn
seq_00174.npy,56.0,5,ntu_syn
seq_00175.npy,68.0,5,ntu_syn
seq_00176.npy,60.0,5,ntu_syn
seq_00177.npy,54.0,5,ntu_syn
seq_00178.npy,69.0,5,ntu_syn
seq_00179.npy,51.0,5,ntu_syn
seq_00180.npy,32.0,5,ntu_syn
seq_00181.npy,39.0,5,ntu_syn
seq_00182.npy,26.0,5,ntu_syn
